Parameter,Active,Default_value,VISA_Command,validated
COMMANDS/MARKER/DO/CALCULATE/STATE 5/ON/ANY/ANY,true,ON,:CALCulate:MARKer5:STATe,NOT YET
COMMANDS/MARKER/DO/CALCULATE/STATE 6/OFF/ANY/ANY,true,OFF,:CALCulate:MARKer6:STATe,NOT YET
COMMANDS/MARKER/DO/CALCULATE/STATE 6/ON/ANY/ANY,true,ON,:CALCulate:MARKer6:STATe,NOT YET
COMMANDS/MARKER/DO/CALCULATE/STATE ALL/OFF/ANY/ANY,,,:CALCulate:MARKer1:STATe OFF; :CALCulate:MARKer2:STATe OFF; :CALCulate:MARKer3:STATe OFF; :CALCulate:MARKer4:STATe OFF; :CALCulate:MARKer5:STATe OFF; :CALCulate:MARKer6:STATe OFF;,NOT YET
COMMANDS/MARKER/DO/CALCULATE/STATE ALL/ON/ANY/ANY,,,:CALCulate:MARKer1:STATe ON; :CALCulate:MARKer2:STATe ON; :CALCulate:MARKer3:STATe ON; :CALCulate:MARKer4:STATe ON; :CALCulate:MARKer5:STATe ON; :CALCulate:MARKer6:STATe ON;,NOT YET
COMMANDS/MARKER/DO/SEARCH/ALL/PEAK/ANY/ANY,,,CALCulate:MARKer1:MAXimum; :CALCulate:MARKer2:MAXimum:LEFT; :CALCulate:MARKer3:MAXimum:RIGHt; :CALCulate:MARKer4:MAXimum:LEFT; :CALCulate:MARKer5:MAXimum:RIGHt; :CALCulate:MARKer6:MAXimum:LEFT,NOT YET
COMMANDS/MARKER/GET/CALCULATE/STATE/1/ANY/ANY,true,?,:CALCulate:MARKer1:STATe,NOT YET
COMMANDS/MARKER/GET/CALCULATE/STATE/2/ANY/ANY,true,?,:CALCulate:MARKer2:STATe,NOT YET
COMMANDS/MARKER/GET/CALCULATE/STATE/3/ANY/ANY,true,?,:CALCulate:MARKer3:STATe,NOT YET
COMMANDS/MARKER/GET/CALCULATE/STATE/4/ANY/ANY,true,?,:CALCulate:MARKer4:STATe,NOT YET
COMMANDS/MARKER/GET/CALCULATE/STATE/5/ANY/ANY,true,?,:CALCulate:MARKer5:STATe,NOT YET
COMMANDS/MARKER/GET/CALCULATE/STATE/6/ANY/ANY,true,?,:CALCulate:MARKer6:STATe,NOT YET
COMMANDS/MARKER/GET/CALCULATE/X/1/ANY/ANY,true,?,:CALCulate:MARKer1:X,NOT YET
COMMANDS/MARKER/GET/CALCULATE/X/2/ANY/ANY,true,?,:CALCulate:MARKer2:X,NOT YET
COMMANDS/MARKER/GET/CALCULATE/X/3/ANY/ANY,true,?,:CALCulate:MARKer3:X,NOT YET
COMMANDS/MARKER/GET/CALCULATE/X/4/ANY/ANY,true,?,:CALCulate:MARKer4:X,NOT YET
COMMANDS/MARKER/GET/CALCULATE/X/5/ANY/ANY,true,?,:CALCulate:MARKer5:X,NOT YET
COMMANDS/MARKER/GET/CALCULATE/X/6/ANY/ANY,true,?,:CALCulate:MARKer6:X,NOT YET
COMMANDS/MARKER/GET/CALCULATE/Y/1/ANY/ANY,true,?,:CALCulate:MARKer1:Y,NOT YET
COMMANDS/MARKER/GET/CALCULATE/Y/2/ANY/ANY,true,?,:CALCulate:MARKer2:Y,NOT YET
COMMANDS/MARKER/GET/CALCULATE/Y/3/ANY/ANY,true,?,:CALCulate:MARKer3:Y,NOT YET
